#1
संन्यासं|saṃnyāsam|saṃnyāsa — renunciation (acc. sg. neut., object of śaṃsasi)
कामक्रोधोद्भवं|kāma-krodha-udbhavam|kāma — desire (first compound member);;krodha — anger (second compound member; krodha + udbhava → krodhodbhava);;ud-bhū — to arise, spring up (udbhava: 'arising, origin', kāma-krodha-udbhava: 'arising from desire and anger', acc. sg., agreeing with vegam)
वेगं|vegam|vega — impulse, force, onrush (acc. sg., object of soḍhum)
स|saḥ|tad — that, he (nom. sg. masc.)
युक्तः|yuktaḥ|yuj — to join, discipline (yukta: past participle 'disciplined', nom. sg., predicate)
स|saḥ|tad — that, he (repeated)
सुखी|sukhī|sukhin — happy (nom. sg., predicate)
नरः|naraḥ|nara — man (nom. sg., subject)
#24
योऽन्तःसुखोऽन्तरारामस्तथान्तर्ज्योतिरेव|yaḥ antaḥ-sukhaḥ antar-ārāmaḥ tathā antar-jyotiḥ eva|yad — who (yaḥ: nom. sg. masc. relative; -aḥ + a- → -o with avagraha);;antar — within, inward (prefix);;sukha — happy, happiness (antaḥ-sukha: 'inwardly happy', nom. sg.; -aḥ + a- → -o with avagraha);;antar — within (prefix);;ārāma — delight, joy (antar-ārāma: 'inwardly delighting, rejoicing within', nom. sg.; antaḥ + ā- → antar ā-);;tathā — likewise, so (tathā + a- → tathā-);;antar — within (prefix);;jyotis — light, luminosity (antar-jyotis: 'having inner light, inwardly luminous', jyotiḥ: nom. sg.; -iḥ + e- → -ir e-);;eva — indeed, and also
यः|yaḥ|yad — who (nom. sg. masc. relative, repeated, resuming the subject for sa in line 2)
--
स|saḥ|tad — that, he (nom. sg. masc.)
योगी|yogī|yogin — a yogin, one who practices yoga (nom. sg., subject)
ब्रह्मनिर्वाणं|brahma-nirvāṇam|brahman — brahman (kept untranslated; first compound member);;nirvāṇa — extinction, extinguishing (of passion and separateness), liberation (brahma-nirvāṇa: 'extinction/liberation in brahman', acc. sg., object of adhigacchati)
ब्रह्मभूतोऽधिगच्छति|brahma-bhūtaḥ adhigacchati|brahman — brahman (kept untranslated; first compound member);;bhūta — become (past participle of bhū, second member; brahma-bhūta: 'become brahman, one with brahman', nom. sg., predicate to saḥ yogī; -aḥ + a- → -o with avagraha);;adhi-gam — to reach, attain (adhigacchati: present 3rd sg.)
#25
लभन्ते|labhante|labh — to obtain, gain (labhante: present middle 3rd pl.)
ब्रह्मनिर्वाणमृषयः|brahma-nirvāṇam ṛṣayaḥ|brahman — brahman (kept untranslated; first compound member);;nirvāṇa — extinction, liberation (brahma-nirvāṇa: acc. sg., object of labhante);;ṛṣi — a sage, seer (ṛṣayaḥ: nom. pl., subject)
क्षीणकल्मषाः|kṣīṇa-kalmaṣāḥ|kṣi — to diminish, destroy (kṣīṇa: past participle 'diminished, destroyed', first compound member);;kalmaṣa — sin, taint (kṣīṇa-kalmaṣa: 'whose sins are destroyed', nom. pl.)
--
छिन्नद्वैधा|chinna-dvaidhāḥ|chid — to cut (chinna: past participle 'cut off', first compound member);;dvaidha — duality, dividedness, doubt (chinna-dvaidha: 'whose doubt/dividedness is cut off', nom. pl.; -āḥ before y- → -ā)
यतात्मानः|yata-ātmānaḥ|yam — to restrain (yata: past participle 'restrained', first compound member);;ātman — self (yata-ātman: 'whose self is restrained', nom. pl.)
सर्वभूतहिते|sarva-bhūta-hite|sarva — all (first compound member);;bhūta — being, creature (second compound member);;hita — welfare, benefit, good (sarva-bhūta-hita: 'the welfare of all beings', loc. sg.)
रताः|ratāḥ|ram — to delight in, be devoted to (rata: past participle 'delighting in, devoted to', nom. pl., predicate)
#26
कामक्रोधवियुक्तानां|kāma-krodha-viyuktānām|kāma — desire (first compound member);;krodha — anger (second compound member);;vi-yuj — to separate, free from (viyukta: past participle, third member; kāma-krodha-viyukta: 'freed from desire and anger', gen. pl.)
यतीनां|yatīnām|yati — an ascetic (gen. pl. 'of ascetics')
यतचेतसाम्|yata-cetasām|yam — to restrain (yata: past participle, first compound member);;cetas — mind (yata-cetas: 'of restrained mind', gen. pl.)
--
अभितो|abhitaḥ|abhitas — on both sides, all around, close at hand (adverb; -aḥ before b- → -o)
ब्रह्मनिर्वाणं|brahma-nirvāṇam|brahman — brahman (kept untranslated; first compound member);;nirvāṇa — extinction, liberation (brahma-nirvāṇa: nom. sg., subject of vartate)
वर्तते|vartate|vṛt — to be, exist, be present (vartate: present middle 3rd sg.)
विदितात्मनाम्|vidita-ātmanām|vid — to know (vidita: past participle 'known', first compound member);;ātman — self (vidita-ātman: 'one who has known the self', gen. pl.; vidita + ātmanām → viditātmanām)
#27
स्पर्शान्कृत्वा|sparśān kṛtvā|sparśa — contact, touch (sparśān: acc. pl., object of kṛtvā);;kṛ — to do, make (kṛtvā: gerund 'having made')
बहिर्बाह्यांश्चक्षुश्चैवान्तरे|bahiḥ bāhyān cakṣuḥ ca eva antare|bahis — outside (bahiḥ: adverb; -iḥ + b- → -ir b-);;bāhya — external, outer (bāhyān: acc. pl. masc., agreeing with sparśān; -n + c- → -ṃś c-);;cakṣus — eye (cakṣuḥ: acc. sg., object of the understood kṛtvā; -uḥ + c- → -uś c-);;ca — and (ca + e- → cai-);;eva — indeed, also;;antara — the middle, the space between (antare: loc. sg. 'between'; eva + a- → evā-)
भ्रुवोः|bhruvoḥ|bhrū — eyebrow (bhruvoḥ: gen. dual 'of the two eyebrows, between the eyebrows')
--
प्राणापानौ|prāṇa-apānau|prāṇa — the outward, upward breath (first compound member);;apāna — the downward breath (prāṇa-apāna: dual, acc., object of kṛtvā; prāṇa + apānau → prāṇāpānau)
समौ|samau|sama — equal, even (acc. dual, agreeing with prāṇāpānau)
कृत्वा|kṛtvā|kṛ — to do, make (kṛtvā: gerund 'having made')
नासाभ्यन्तरचारिणौ|nāsā-abhyantara-cāriṇau|nāsā — nose (first compound member);;abhyantara — interior, inside (second compound member; nāsā + abhyantara → nāsābhyantara);;cārin — moving, going, coursing (nāsā-abhyantara-cārin: 'moving within the nose', acc. dual, agreeing with prāṇāpānau)
#28
यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः|yata-indriya-manas-buddhiḥ muniḥ mokṣa-parāyaṇaḥ|yam — to restrain (yata: past participle, first compound member);;indriya — sense-organ (second member; yata + indriya → yatendriya);;manas — mind (third member; manaḥ + buddhi → mano buddhi);;buddhi — intellect, understanding (fourth member, yata-indriya-manas-buddhi: 'whose senses, mind, and intellect are restrained', buddhiḥ: nom. sg., bahuvrīhi agreeing with muniḥ; -iḥ + m- → -ir m-);;muni — a sage, silent ascetic (nom. sg., subject);;mokṣa — release, liberation (first compound member);;parāyaṇa — intent upon, devoted to (mokṣa-parāyaṇa: 'devoted to liberation', nom. sg.; -iḥ + m- → -ir m-)
--
विगतेच्छाभयक्रोधो|vigata-icchā-bhaya-krodhaḥ|vi-gata — departed, gone away (first compound member; vigata + icchā → vigatecchā);;icchā — desire, wish (second member);;bhaya — fear (third member);;krodha — anger (fourth member, vigata-icchā-bhaya-krodha: 'from whom desire, fear and anger have departed', nom. sg.; -aḥ before y- → -o)
यः|yaḥ|yad — who (nom. sg. masc. relative)
सदा|sadā|sadā — always (adverb)
मुक्त|muktaḥ|muc — to release (mukta: past participle 'liberated', nom. sg.; -aḥ + e- → -a e-, visarga elided before vowel)
एव|eva|eva — indeed, truly
सः|saḥ|tad — that, he (nom. sg. masc.)
#29
भोक्तारं|bhoktāram|bhuj — to enjoy, partake of (bhoktṛ: agent noun 'enjoyer', bhoktāram: acc. sg., in apposition to mām, object of jñātvā)
यज्ञतपसां|yajña-tapasām|yajña — sacrifice (first compound member);;tapas — austerity (yajña-tapas: 'sacrifices and austerities', gen. pl. 'of sacrifices and austerities')
सर्वलोकमहेश्वरम्|sarva-loka-mahā-īśvaram|sarva — all (first compound member);;loka — world (second member, sarva-loka: 'all worlds');;mahā — great (third member; mahā + īśvara → maheśvara);;īśvara — lord, ruler (sarva-loka-mahā-īśvara: 'the great lord of all worlds', acc. sg., in apposition to mām)
--
सुहृदं|suhṛdam|su-hṛd — a good friend, well-wisher (suhṛdam: acc. sg., in apposition to mām)
सर्वभूतानां|sarva-bhūtānām|sarva — all (first compound member);;bhūta — being, creature (sarva-bhūta: 'all beings', gen. pl. 'of all beings')
ज्ञात्वा|jñātvā|jñā — to know (jñātvā: gerund 'having known')
मां|mām|aham — I (acc. sg. 'me', object of jñātvā)
शान्तिमृच्छति|śāntim ṛcchati|śānti — peace (śāntim: acc. sg., object of ṛcchati);;ṛ — to go, reach, attain (ṛcchati: present 3rd sg. 'attains, goes to')
